"","logFC","logCPM","PValue","FDR"
"CYP2A6",-14.4535529741539,9.66857070724084,8.39039231683107e-80,1.26694923984149e-75
"CYP2C9",-14.6593730794678,9.88286440949648,4.06207849199386e-71,3.06686926145537e-67
"ACSM2A",-14.4001908461207,8.02801654541457,4.9332475325828e-68,2.48306792473334e-64
"SERPINA10",-14.8587314084708,8.0023277272422,8.1119661248395e-68,3.06226721212691e-64
"A1CF",-13.379279938541,9.21308315158119,5.3372900777549e-67,1.61186160348198e-63
"CPN2",-15.1500205557892,7.56060151253001,7.26104004841826e-67,1.82736174551859e-63
"AFM",-15.1509244822036,8.28279071274879,1.16385705837353e-66,2.51060594020577e-63
"SULT2A1",-14.4185077741044,8.40869751122527,5.48775368632512e-66,1.03581350829387e-62
"CPLX2",13.0342653190591,8.18202759257702,2.13684466421833e-65,3.58515049218854e-62
"APOC3",-15.0461230394098,10.824209445452,2.98574999738271e-65,4.50848249604789e-62
"ACSM2B",-17.5553339833028,8.40537401293649,3.83689681097562e-65,5.26701289506653e-62
"MBL2",-14.5505116213906,8.51870239766682,1.5163169458104e-64,1.90803215681142e-61
"CES1",-12.1923954711548,10.705967266633,3.01828364046322e-64,3.50585253623035e-61
"C8A",-15.5706757533448,8.71456719451296,4.90397882737147e-64,5.28929144952209e-61
"LBP",-14.6722036840621,7.80410297863613,7.14487002694048e-64,7.19250249378675e-61
"CYP2B6",-15.13827074512,7.54892056948111,1.77436314867473e-63,1.67455522156178e-60
"VTN",-13.3161453194824,11.6670630022596,2.62479257090248e-63,2.33143340121338e-60
"GABRA1",12.4530812253947,8.01142825955575,2.80189993479408e-63,2.35048272307725e-60
"CYP8B1",-13.4336943033946,8.63091917492091,6.03603050258993e-63,4.79705582047937e-60
"ADH1A",-15.6489761146664,9.63966550779786,6.47770454974305e-63,4.89066693505601e-60
"HPD",-14.0554004398992,9.89455825054384,8.0995299446961e-63,5.82394772213863e-60
"FUT9",14.0555877697564,7.30374697486347,2.1916169412167e-62,1.50424617328964e-59
"SERPINA1",-12.9321263308526,13.079895916137,2.32505006429261e-62,1.52644591177471e-59
"SAA4",-13.4801216743738,7.48173056700734,2.44823337704307e-62,1.54034683305626e-59
"SNAP91",13.230549407789,7.31698199607308,3.10612188915677e-62,1.87609762105069e-59
"SNAP25",10.5336456648533,9.98986992101774,4.09924718854826e-62,2.3462382416486e-59
"UGT1A4",-16.9081401418392,7.75819051682476,4.19526043208691e-62,2.3462382416486e-59
"AGXT",-15.1650144203094,9.87155954378786,8.09148059276811e-62,4.36361989109995e-59
"G6PC",-13.9048634404997,9.08493086744139,1.65566615417149e-61,8.62088238896191e-59
"ADH1C",-14.7641428124656,9.27566502586022,2.05804191477836e-61,1.03588109710511e-58
"SLC22A1",-13.1835286627775,9.20337173413877,2.4412555315345e-61,1.18912769439261e-58
"CDHR5",-13.0388551221682,6.6562082014138,4.65080612201129e-61,2.19459913882408e-58
"CPB2",-14.718096618627,8.97556979186314,5.81205627977734e-61,2.65945605529205e-58
"MASP2",-14.0873981998279,6.48658444140012,2.04542737302469e-60,9.08410392137437e-58
"LINC00261",-14.1459717694817,7.76224972043885,3.80813157861699e-60,1.60018722485764e-57
"HSD17B13",-10.9873621155265,8.75912746848831,3.81501590032284e-60,1.60018722485764e-57
"APCS",-14.1357619535212,9.18579164211642,5.22594052163484e-60,2.1327486993699e-57
"F11",-12.250317505107,7.16845930650519,6.45447972842386e-60,2.56480641840001e-57
"ITIH1",-14.9208006512188,10.5755615312283,7.13922916450409e-60,2.76416308676953e-57
"C8B",-13.8221401854846,8.88282781223096,1.1730014543395e-59,4.42808049013163e-57
"MAT1A",-14.224606454994,10.7348301089407,1.32314195009548e-59,4.87303498693702e-57
"GABRG2",12.8464296048962,6.9331277706476,3.88299865187259e-59,1.39603046769705e-56
"ADH1B",-13.4700327419397,12.5196879527305,4.3422180309834e-59,1.52482540157789e-56
"SCG3",15.8610603263062,6.71255083095382,4.52132649388076e-59,1.55163704676362e-56
"F2",-12.9494270883809,9.84457497088965,4.8161893531491e-59,1.6160990940567e-56
"HAO1",-14.7809420624341,7.89912179239516,5.75639487263321e-59,1.88959918645134e-56
"IYD",-12.3835218771668,6.40511056485468,1.44371859503823e-58,4.63832995427175e-56
"CPS1",-10.8820557379456,12.188675736268,1.76012918527822e-58,5.53707306202106e-56
"APOA1",-14.9230525646983,12.1123843476364,1.88550255728691e-58,5.81042624796577e-56
"INHBC",-12.3209800795231,5.93869841441248,2.02204405201586e-58,6.00087095514919e-56
"HPCAL4",11.3703311310667,7.49935558997675,2.02678422988483e-58,6.00087095514919e-56
"TM4SF4",-14.1653633031767,7.30948222015018,2.34668741416359e-58,6.81441922189811e-56
"TMPRSS6",-13.9787636675137,7.12280972193418,3.3814687044046e-58,9.63399574273765e-56
"SERPIND1",-13.1586150103877,8.86582119803044,5.07211741394018e-58,1.41831431389809e-55
"SCN2A",9.86058609617386,8.56237964931134,5.46953911435636e-58,1.50163710230511e-55
"AGXT2",-13.4743875782163,5.88503402681984,7.03004167227295e-58,1.89560052234503e-55
"APOF",-14.7024471400435,7.83328868831344,1.47507877301339e-57,3.90766481973723e-55
"APOA5",-13.0652764130882,7.94536431013762,1.76196669319473e-57,4.58718914952421e-55
"FBP1",-10.7296595924344,7.64934483571167,2.0430169438263e-57,5.22873827996223e-55
"GFAP",11.5676346460779,9.50804937432498,2.29939063057067e-57,5.78679975360286e-55
"GABRB2",12.0018021676136,8.11647963487626,3.46816728078276e-57,8.58513539997044e-55
"ADH6",-15.6779594764957,8.82218482549919,3.93748941509087e-57,9.58969196256002e-55
"UGT2B15",-14.6547819955209,8.6717098342742,4.07084699468582e-57,9.75710946345332e-55
"C8G",-11.5392832361627,6.04219168412433,6.51433710044387e-57,1.53697640963598e-54
"SERPINA4",-15.2074541126033,7.61829949731654,6.66113806563461e-57,1.5474336121705e-54
"ANG",-11.4085739364342,8.6180803321286,9.54988305968213e-57,2.18489748789697e-54
"HGD",-12.0519608970318,8.13037298800705,1.04703152972944e-56,2.3597277759574e-54
"STXBP5L",11.5860785567148,7.15859568774744,1.43842818932055e-56,3.19415671452062e-54
"ACMSD",-15.0441202025383,5.8942312007603,1.65933725605664e-56,3.63130327050077e-54
"F13B",-12.9211427365128,6.92299129870625,2.41332288253842e-56,5.20588221804717e-54
"LRG1",-12.3561508597491,7.74855657237217,5.25806476921997e-56,1.11826447908763e-53
"KIF5C",9.78135320685697,9.11857914545365,5.77644441040439e-56,1.21144875829314e-53
"DIO1",-12.6888285167632,6.66895306906991,6.65077858489006e-56,1.37570899495671e-53
"SLC39A5",-13.0741335578238,6.69075619563872,7.42221532435439e-56,1.51453312699664e-53
"SLC12A5",11.1447912232969,7.58291023460504,1.02404992450252e-55,2.05985330891011e-53
"TTR",-14.5994193837219,10.6596880291971,1.03674736077595e-55,2.05985330891011e-53
"SLC10A1",-14.2894107881957,7.43342808862177,1.61990993647035e-55,3.1767064987925e-53
"SERPINA11",-13.2280465379622,7.2185555615614,1.87784887618998e-55,3.63532282441907e-53
"CADM3",10.9750287436486,7.51221822664113,1.99186423101008e-55,3.80723416306991e-53
"SCN2B",11.401310654703,6.40478702087967,2.38118693305501e-55,4.49449033614133e-53
"UGT2B4",-14.409954120953,9.12694962592809,2.43689241410652e-55,4.54284882135906e-53
"ALDOB",-13.8279942065075,12.5899018326623,3.06110817708319e-55,5.63691871633613e-53
"SLC2A2",-14.6783481711257,9.90335196611827,3.77104540025859e-55,6.86057657155478e-53
"CFB",-11.6766297780862,11.2480091446386,4.03922804359853e-55,7.26099326884974e-53
"ABCC6",-10.0803072739067,7.72449149198878,4.71540525410003e-55,8.37677874551887e-53
"A1BG",-9.626347648743,9.77578331749861,7.4954638984417e-55,1.31606401007523e-52
"C3P1",-14.2591608767185,6.66992972441516,9.39487385812774e-55,1.63060454319229e-52
"ANGPTL3",-14.5809357002693,8.83693989267662,1.05425001410481e-54,1.80899718329348e-52
"NR5A2",-11.0306312071317,5.71536343505481,1.19972398837317e-54,2.03548676679043e-52
"GAD1",11.6921790173726,6.69461693152184,1.28666940370434e-54,2.15874533288173e-52
"AADAC",-14.7862283596403,7.18321352917575,2.79731897397146e-54,4.64170511065593e-52
"PRODH2",-15.4060027316307,6.25607173498043,4.90745749025952e-54,8.05463131553464e-52
"SLCO1B1",-14.2310175925894,8.75249202457734,5.92049188995681e-54,9.61284167079008e-52
"SPP2",-15.1766116933513,6.02671509089909,6.23364475607416e-54,1.00136208315659e-51
"HPX",-13.478535601527,11.2239129084076,6.9967541635995e-54,1.11211566179318e-51
"INA",11.9764501928077,6.59057792330566,8.26821323254386e-54,1.30052103970221e-51
"NPTX1",11.3405138616356,7.60752355391898,1.45752083356356e-53,2.26892418420719e-51
"UGT1A6",-11.5445149749381,6.61518942191219,1.71750090149755e-53,2.64635342985847e-51
"IGFALS",-9.95242645596579,6.90488595348995,2.05320074542021e-53,3.13164962180254e-51
"PGLYRP2",-14.4548062772304,7.5989583941265,2.29853425903019e-53,3.47078673113559e-51
"SLC17A2",-14.6450345841738,5.49515697188529,3.45103647723701e-53,5.15947037685929e-51
"TMEM151B",11.1516757200598,6.4693624346712,3.94342181130392e-53,5.8378107206558e-51
"LECT2",-15.3603304104487,6.21043330268098,5.05509766309028e-53,7.41087133132653e-51
"HSD17B2",-14.9449818018218,5.79510355804589,5.39185496552676e-53,7.82855865187058e-51
"ATP8A2",11.8671447541359,5.96530037267316,6.66277062545307e-53,9.58169870898489e-51
"NRXN1",9.21792431398379,8.17180471918154,8.94658125563927e-53,1.2744658203788e-50
"F9",-13.599541763732,9.06626691926562,1.12468272175153e-52,1.58716907462132e-50
"MIA2",-11.9047018708186,5.56574891179436,1.86521544954895e-52,2.60784752668417e-50
"RDH16",-11.7652655620764,8.72120278183383,2.66068527512201e-52,3.68590345452682e-50
"ABCB4",-9.85119791149215,7.11618277687745,3.14260830544486e-52,4.31394412838339e-50
"PROC",-11.5129057127215,7.24395150386811,5.35265459817785e-52,7.28153913806176e-50
"C9",-14.6784388125851,9.86159324997861,6.80035877406401e-52,9.16834084717559e-50
"MT3",11.7553448820262,5.83805402276531,7.20614633701234e-52,9.62945218485719e-50
"SERPINA6",-15.4875618834511,7.89862427389841,9.49055929196884e-52,1.25708285358535e-49
"CYP2C8",-11.2250458669799,9.70301923642752,1.17326556690021e-51,1.54054870088636e-49
"NR1H4",-11.1505637039672,6.06861162399099,1.49347536699952e-51,1.94409293462868e-49
"SERPINA7",-15.6808564458795,6.53094116594078,1.96812527047813e-51,2.54005910976237e-49
"MTTP",-9.4424841562057,8.31678304780642,2.44712432278619e-51,3.13148959949758e-49
"SLC51A",-12.9146982350717,5.3255185753676,2.94347127135493e-51,3.73499295776971e-49
"HMP19",12.2406839906733,6.86531567986393,3.21645893953098e-51,4.04737749890982e-49
"Sep-03",11.6115235991267,7.41725394500196,3.38081697356258e-51,4.21903605791694e-49
"UGT1A9",-13.7596477633911,7.1223417132212,3.5241210460462e-51,4.36182195043423e-49
"ARG1",-12.4610140132918,8.68904643403548,4.06555778406718e-51,4.99105061296052e-49
"CFHR2",-14.4777215492932,7.62201782540627,4.64422298523556e-51,5.65546508685943e-49
"SYNPR",11.8696749668089,5.95751301215751,4.81051799173239e-51,5.81110573401273e-49
"APOC4-APOC2",-10.0281364153212,9.84653285605638,4.87608399518737e-51,5.84356097835946e-49
"UGT2B7",-14.868476765016,9.13603878418942,5.34103542611468e-51,6.35036495545919e-49
"ITIH2",-11.1009520986461,10.9393015583372,7.30637069208783e-51,8.61923417582236e-49
"C6",-13.0439681662679,9.33402919353494,8.21082018695992e-51,9.61111510256548e-49
"SLC28A1",-13.2325058934696,5.64330175112625,1.60174810896514e-50,1.86049203425951e-48
"CRMP1",9.40676506779519,6.16459823975709,2.0821622318396e-50,2.40004959547923e-48
"WDR72",-10.73021108522,6.72887144324612,2.98208779602693e-50,3.41132770606111e-48
"DPP6",11.4567485980335,6.79434867515957,3.18853975139978e-50,3.62007144707795e-48
"CYP4F2",-12.4722214626912,7.38087819404131,3.68558080799581e-50,4.15315449259229e-48
"GPM6B",9.40427915814567,8.25564670972948,4.07145562645005e-50,4.5539985155108e-48
"CACNB4",9.71766970292323,7.10523152900155,4.69291619550283e-50,5.2105172464774e-48
"PTPRZ1",10.5314359711819,7.1583008671901,7.39698079500153e-50,8.15287664266592e-48
"ABCB11",-11.8316547764387,7.65268740461723,9.12556191084246e-50,9.98521629374791e-48
"CNTNAP4",14.7210068623506,5.57425415390307,1.2209357074809e-49,1.32634022899004e-47
"MYT1L",11.0786371870372,6.88453189348249,1.26263200846224e-49,1.36183880912713e-47
"HAO2",-12.805803082801,7.07454336565018,1.3370198155408e-49,1.43184391593376e-47
"SMLR1",-12.7547773767282,5.1777667076706,1.40887900691758e-49,1.49817415524335e-47
"GBP7",-11.1766921323262,5.44743767425073,1.46311866909504e-49,1.54497146177168e-47
"KCNA1",12.0222944471982,6.10947772836192,1.50747859495502e-49,1.57438588774154e-47
"CNR1",9.47486528794308,6.12090783594597,1.51182750809618e-49,1.57438588774154e-47
"GYS2",-9.52026555940999,7.38653597351559,2.01296833031929e-49,2.08190560190557e-47
"FAXC",11.1985300088638,5.80834006503018,5.8640369252423e-49,6.02360255586114e-47
"IGFBP1",-12.1875685492606,7.80388769502099,8.51702530222206e-49,8.68966770699683e-47
"ATP6V1G2",10.4867428453982,6.25213064197885,8.71565362732215e-49,8.83264226661506e-47
"AKR1D1",-14.4676034682461,8.09648789345434,9.81042073311772e-49,9.87582353800517e-47
"FMO3",-11.1529470847366,8.80631153062523,1.08914224857961e-48,1.08914224857962e-46
"RASGRF1",11.2001463612815,6.2135986111803,1.12940044931918e-48,1.12197018320523e-46
"C4BPB",-12.2184998763283,6.54654942960009,1.42260116349432e-48,1.40400506985387e-46
"DNER",11.2612910217423,6.28950608332354,1.61721647038007e-48,1.58571225342461e-46
"IQGAP2",-9.32668015334433,8.40444727276592,1.68964295104281e-48,1.64603926198364e-46
"C1orf61",12.0962165714721,5.33683835305973,1.79625499085887e-48,1.73520138441428e-46
"TAGLN3",13.2033245748687,6.44162416351139,1.80414978379497e-48,1.73520138441428e-46
"GBA3",-11.4015792027846,6.79332792181355,1.81773383542449e-48,1.73720132372847e-46
"KCNJ9",11.3822533652551,5.48732413767218,2.7255857089366e-48,2.58844932106558e-46
"NR1I3",-11.9546966563846,5.09873820138512,2.97997988179337e-48,2.81235601344249e-46
"TAT",-14.6855189692353,10.7100601262855,3.39638915585275e-48,3.18543330766314e-46
"KRT8",-10.8692723265842,6.65094387397444,3.56530995285687e-48,3.32322100544066e-46
"NPC1L1",-11.4479235227822,5.41753947063476,4.68129271624013e-48,4.33665766964576e-46
"NRXN3",9.65561301184717,6.82796277627971,7.20185346905688e-48,6.63097484041212e-46
"PIGR",-10.7776592315651,6.25439115043382,7.2464635156463e-48,6.63161206583389e-46
"ANPEP",-10.2274434405711,8.69810957358191,8.02022503051603e-48,7.29550590125254e-46
"PRG4",-11.0453195724349,7.211919953269,9.12798927578449e-48,8.25345138109856e-46
"GABBR2",15.9745751607651,6.82594839624457,9.48342326603926e-48,8.48918526229386e-46
"ATP1A3",11.5530127542567,8.17955811938633,9.50114112137525e-48,8.48918526229386e-46
"HCN1",10.2416155554771,5.80752508430586,1.02666579984183e-47,9.11920798683037e-46
"ADH4",-14.8586924328833,10.9686459755181,1.81812082493084e-47,1.60547511441262e-45
"OPCML",10.8876273759405,6.66061920088718,2.03307342119312e-47,1.78484934069861e-45
"SLC17A4",-12.0290978352311,5.14921610790643,2.28960835189608e-47,1.9984442840249e-45
"ABCC3",-9.96814601847381,6.94966706127782,2.45813905097297e-47,2.13321262469494e-45
"SERPINF2",-12.2468484802567,9.50931558531748,2.7074538504269e-47,2.33614589379692e-45
"ELAVL3",14.6131771053733,5.46669405091548,2.83442757390039e-47,2.43181002078954e-45
"CPN1",-13.9528684188995,4.80307384256625,2.98409193190033e-47,2.54575074416356e-45
"APOA2",-14.5563076989513,10.6662396570113,3.17684993628494e-47,2.69496820437655e-45
"FABP1",-14.1515946796387,8.18814506696841,4.88940900135277e-47,4.12458524695122e-45
"HRG",-14.0691893345294,10.6044210626721,5.44813868702612e-47,4.57038300967191e-45
"BAAT",-10.4903664524888,10.0022575273596,6.94177783732869e-47,5.79120692506426e-45
"SLC8A2",14.725723436204,5.57898054413452,7.49903759851684e-47,6.22172899657166e-45
"CFHR3",-13.3763416987608,7.01957516734377,7.66347521395661e-47,6.32341397435764e-45
"GLYAT",-11.9618010872497,7.15000181258274,8.22433743610783e-47,6.74932039593632e-45
"GRIA4",11.5504007876255,6.56209853548801,8.56895244025934e-47,6.99411793772519e-45
"FTCD",-9.78939783755184,8.44876151381455,1.07601180413106e-46,8.73536464644036e-45
"AMER2",11.5449502041548,5.66114157884544,1.1867011041846e-46,9.58245276641037e-45
"ESRP2",-9.98636162615046,5.71053284032228,1.63911318395519e-46,1.31652175945337e-44
"CYP2A7",-10.5585548347806,5.65882531789349,1.97252272243181e-46,1.57593085231325e-44
"ATP2B3",14.578709786292,5.43227911003691,3.49236297906994e-46,2.77550952547138e-44
"HMGCS2",-14.5505776792273,10.4096228021244,3.7933692323515e-46,2.99894635646637e-44
"SLC6A15",11.1481044350039,5.24350229369268,5.3934095171325e-46,4.24169185982816e-44
"SLC15A1",-14.0816403703599,4.93178347213606,5.61030076156173e-46,4.38940629531514e-44
"CYP4F3",-9.95003891681532,7.64528434305465,5.73098807702216e-46,4.46071752386777e-44
"UGT2B10",-14.4392999963097,8.96274907970854,6.31749134158875e-46,4.89200611579437e-44
"GRIN2A",11.5742566194131,7.87201237827107,7.61314359118706e-46,5.86522797076146e-44
"SVOP",11.8715503832135,5.97020072370245,7.98929053775148e-46,6.12377091979935e-44
"GLYATL1",-10.5316343411093,7.45687121761657,1.02147665675416e-45,7.79004925100394e-44
"AKR1C4",-15.2515349285934,7.66279721033763,1.03020300621113e-45,7.8171182883357e-44
"ATP1A2",8.96856378789581,8.7380900699742,1.03625249082122e-45,7.82370630570018e-44
"PPP1R1B",10.7069128307573,5.32367561478828,1.54022002163937e-45,1.15708071277385e-43
"ADAM22",9.28902281767764,7.3891211866757,1.59923675951481e-45,1.19546906280563e-43
"RUNDC3A",10.6376744441624,6.23170555816222,1.70940910932019e-45,1.2715309138293e-43
"TTYH1",9.08533989502523,5.74669123387944,1.72286285051671e-45,1.27525632562756e-43
"MAPK8IP2",8.52296146256926,6.12595677143886,1.76032247118468e-45,1.29662777145798e-43
"CEND1",10.5170726022589,5.15009296171456,2.85592219481667e-45,2.09341869620057e-43
"SYP",9.9665672996251,8.06220256703711,3.39680772708386e-45,2.47786457386311e-43
"CEACAM1",-10.0964624499611,5.01595904937092,3.84204083645141e-45,2.78917387646232e-43
"ELAVL2",11.337904916368,5.426516853766,3.87029826181568e-45,2.79624419872808e-43
"SRRM4",11.1198379215006,5.20936453703427,4.44397377406695e-45,3.1954287613529e-43
"GRIA2",10.8992136495951,7.77760461902788,4.55017781186525e-45,3.25628838669029e-43
"OLFM3",12.0425887528722,5.27684604330056,4.62668199584571e-45,3.29541972345614e-43
"GALNT9",14.0853322647683,4.94036230776382,5.3941214002667e-45,3.82400155605761e-43
"CCL16",-14.150645535568,5.0008090114252,5.51287159597885e-45,3.88992341585424e-43
"FETUB",-10.7530201656305,5.87338691055696,6.16901375333963e-45,4.33265617095016e-43
"AOX1",-10.3047830820519,10.8967238741546,6.8143712546984e-45,4.76375027527527e-43
"PCK1",-13.4380779181404,10.0378254175386,7.48935950909448e-45,5.211489796651e-43
"SERPINC1",-14.5333068572811,11.1319941255868,7.96204543469927e-45,5.5149947735761e-43
"C4BPA",-14.0652498347275,9.98307394686108,8.87805375054116e-45,6.12139779146902e-43
"SNCB",12.2691138643494,5.50245132475071,1.19255040669993e-44,8.18523233689498e-43
"SLC22A7",-11.2776140086459,8.21554800980275,1.29136766205522e-44,8.82337180861258e-43
"KLB",-10.3287934542384,6.07104578052969,1.34073190436002e-44,9.11939268280915e-43
"DNM3",8.30267562416327,7.71300447606096,1.35070860005233e-44,9.14605374923325e-43
"UROC1",-10.9804098063524,7.11323228254914,1.49106024074017e-44,1.00428081678279e-42
"PROZ",-11.5258010814902,4.64616439119572,1.49644492566972e-44,1.00428081678279e-42
"GCGR",-10.7057067644214,5.28181584650166,1.71695220533959e-44,1.14716718144371e-42
"CDH18",12.2868918823817,5.52017704130181,1.75402311861403e-44,1.16598568231517e-42
"APOM",-9.66899294141202,6.64062669490758,1.76056116270105e-44,1.16598568231517e-42
"GRM3",11.354047783423,5.44244844163456,2.27044490797626e-44,1.49710559434242e-42
"ITIH3",-14.0807217989039,9.92087185909613,3.27795994130797e-44,2.1520519614674e-42
"PAH",-9.24445001971253,9.77660332864388,3.36872365592832e-44,2.20206611274968e-42
"C2",-9.01128589934633,8.84680505859082,4.32411406104553e-44,2.81440182421498e-42
"EEF1A2",8.27974110771672,7.36145725702952,4.3988896730378e-44,2.85078257780561e-42
"TUBB4A",9.33031718376528,6.84069562776187,4.48098921611232e-44,2.89157851125197e-42
"FMO5",-9.01956764426738,8.75202732887697,5.06246987615424e-44,3.25290617574166e-42
"OTC",-11.8499995594833,7.15030191483046,5.48214323271111e-44,3.507642492116e-42
"AL390170",11.6640098097456,4.90599634893716,6.30345008679953e-44,4.01612220720139e-42
"HAAO",-9.6380662357019,6.79207425510954,7.00184806703182e-44,4.44234898370506e-42
"GAD2",13.9733236079239,4.82872071987271,9.19178409055239e-44,5.80736149654147e-42
"FAIM2",11.1768604422081,7.80276480207521,9.32270878855403e-44,5.86553761279858e-42
"ACSM3",-14.0149312394613,6.42612090326796,9.40086647375189e-44,5.89016945035907e-42
"GRIK3",10.5941299085694,5.22697483103422,1.12077163457451e-43,6.99324449672524e-42
"BCAN",11.0053727554317,5.11204811008916,1.18106835955181e-43,7.33914906552771e-42
"ITIH4",-11.1293873027236,11.1280849792225,1.21017810060475e-43,7.48921693407035e-42
"KLKB1",-9.64070173553947,7.32966843410921,1.3321038436273e-43,8.21010940358048e-42
"KCNIP4",11.6097007475826,4.84561129410658,1.89611185925145e-43,1.16387353962183e-41
"F10",-9.29766749549627,6.52690580465612,2.60471007616572e-43,1.59235312348593e-41
"RIMS4",11.6028950963758,5.69017906275689,3.171372716265e-43,1.93095677482264e-41
"SLC7A14",9.72273815714867,6.34637506635274,3.96738929196836e-43,2.40592683970772e-41
"RTN1",8.88006337698443,8.02813485611451,3.99573408023547e-43,2.41342338446223e-41
"CA10",11.2676715667596,5.89895842825141,5.33650720213967e-43,3.21040871523144e-41
"CYP4A11",-12.9901251118907,8.68030858191147,5.42081691211892e-43,3.24818791162681e-41
"ASPG",-8.94217267267699,5.66659338494045,5.97546149739227e-43,3.56638215852266e-41
"PSD2",9.9001754008339,5.22527065813374,7.30966083628026e-43,4.34550703259181e-41
"CFI",-9.78233557008835,8.68197622643298,8.1364191609873e-43,4.81803644434934e-41
"UNC80",10.3281497621802,7.14370504815365,9.51515025453658e-43,5.61245190794931e-41
"APOC1",-10.2527155344853,10.6563748308862,1.0090002378649e-42,5.92836715632684e-41
"NLGN1",10.7829111003497,4.88447938744416,1.41886722714039e-42,8.30422291853486e-41
"JPH3",11.9006161456208,5.97984625505876,1.554480728076e-42,9.06280270036586e-41
"CDH10",11.4466493143069,4.70079065817504,1.62664155326639e-42,9.44703363627788e-41
"ABCG8",-8.5377740338037,6.11012149836478,1.86410073977035e-42,1.07846441266407e-40
"ABCG5",-9.94792578625665,5.55190295768275,2.09254627478015e-42,1.20600949424352e-40
"NRXN2",8.95943005396127,6.2347889483077,2.12299733443563e-42,1.21890721482806e-40
"GPR22",13.7279982844652,4.58438947192086,2.47061374256655e-42,1.41311619366496e-40
"STMN4",14.1457352814426,5.00052202303063,2.88598894646361e-42,1.64446917326795e-40
"CACNA1B",10.6782382868958,5.6808100976254,3.16903353405964e-42,1.79896264527446e-40
"AP3B2",10.6084889103179,5.24732299537045,3.48728992794862e-42,1.97221265588105e-40
"ORM2",-13.8564433731652,10.0081591892303,3.9227991629694e-42,2.21023385674768e-40
"DLGAP1",10.1903113585122,7.20002168374221,4.81063057536016e-42,2.70039114081555e-40
"MLC1",9.74722661497603,5.69485010955451,6.18939758411194e-42,3.46147790815149e-40
"HAL",-14.3612239686576,6.77258632326261,6.38976339987048e-42,3.56034787225256e-40
"ABCC2",-10.4272373778305,7.86053514509602,6.41701896878694e-42,3.56238920693687e-40
"SEZ6L",9.42644355868437,6.51370306453013,7.7937469040683e-42,4.31082704217697e-40
"PON1",-10.888580705464,8.54378769751003,1.10911395517457e-41,6.11227033691094e-40
"NR1I2",-10.7824742995148,6.24105284901527,1.24303675146166e-41,6.82540179893495e-40
"PNMAL1",8.06810168035976,6.86099524725201,1.28466748965056e-41,7.02843445424765e-40
"PLA2G12B",-10.7968566206356,4.40221269684455,1.49138353714674e-41,8.12992469708151e-40
"SLC6A17",11.6145333787463,6.92450263058534,1.53143852005856e-41,8.31824519887924e-40
"C4B_2",-8.45153332142653,11.7841864446352,1.8257743985867e-41,9.88143133285276e-40
"PHYHIP",8.61982968236972,7.3432853299349,2.12810717654571e-41,1.14765779878001e-39
"OMG",12.1113784449079,5.35173664047642,2.25870118832214e-41,1.21375046062862e-39
"RIMS2",9.63570399036816,6.45019952463669,2.33302869288344e-41,1.24924586037376e-39
"NRIP3",9.28486276380481,5.69825244573598,2.94893323788434e-41,1.57345907745772e-39
"RPH3A",12.1388252383882,6.23753140664098,3.12403300421999e-41,1.66101754801837e-39
"KCNQ2",11.2833055223508,5.89580010049527,3.26478989687946e-41,1.72976587518876e-39
"AMBP",-14.8037380286311,11.6690565169467,3.85009230742799e-41,2.03274104343226e-39
"ADAM11",9.01294887040472,5.31886790455956,4.23821175112971e-41,2.22986053805082e-39
"MOBP",12.6441178697452,6.75032344993712,4.66630475151541e-41,2.44656950513481e-39
"BRSK2",13.9595935780603,4.81505333216552,5.39799567509548e-41,2.82040604477307e-39
"NDRG4",9.2310830168985,8.56835804576346,5.45296930504141e-41,2.83930470710777e-39
"C1S",-8.84527491090329,10.9777226976842,5.9377798350118e-41,3.0811159968618e-39
"PTPRN",12.5421188818211,6.62619579140149,8.85202401528212e-41,4.5775877613274e-39
"ACOT12",-10.3620747600127,5.08068803802878,9.47674527220495e-41,4.88391991844009e-39
"HPN",-8.57972145889419,8.37100213045821,1.02604416632203e-40,5.26981867736823e-39
"CYP4A22",-12.1479443543249,6.42879544945807,1.04478588284433e-40,5.34788706133876e-39
"MST1",-8.67778935648117,7.69788643170522,1.4261149100977e-40,7.27511322380922e-39
"CFHR5",-12.4277005099091,6.70870506491926,1.70066026765963e-40,8.64645455948164e-39
"COL18A1",-7.69634345903573,10.2535194699816,1.96598909424314e-40,9.96189104801053e-39
"MAP7D2",8.36530443433387,5.31868804821978,2.31436086637367e-40,1.16879093920543e-38
"ERBB4",8.52948118459771,6.46388202699892,2.88933836437194e-40,1.45430031006721e-38
"CA11",7.69773854050106,6.10777581167093,3.01790032105901e-40,1.51357990649168e-38
"ANK2",7.83794673158623,9.60202374714653,3.02715981298335e-40,1.51357990649168e-38
"CPS1-IT1",-11.7063510001624,4.85092410037843,3.36590854425075e-40,1.67739996759691e-38
"SLC43A1",-7.37283159731263,6.12726416933006,3.56501390105078e-40,1.77077993111404e-38
"HYAL1",-7.53676245296108,6.75238012041749,3.79581960584373e-40,1.87924183764722e-38
"BEND6",10.1455133577519,4.78021771141911,4.1350394304699e-40,2.04049331372861e-38
"C1R",-8.72713917705373,9.94697207446896,4.19560892492551e-40,2.06363826600571e-38
"CKMT1B",10.7630687808132,4.87141105513245,5.58091572299124e-40,2.73609829276519e-38
