"","logFC","logCPM","PValue","FDR"
"BCKDHB",-2.6233136407096,6.0405620028372,7.1617499324087e-08,3.45061978236667e-07
"C17orf51",2.82133178198877,5.6511162944518,7.18829996534694e-08,3.46230716034254e-07
"ARC",6.90611530059855,2.21602533213271,7.21331923531125e-08,3.47325001445153e-07
"AK055197",3.26424403362173,3.49135896089872,7.24444630758981e-08,3.48712589240058e-07
"DACT3",4.12639408656579,4.35645431320983,7.29055993372218e-08,3.50820442954764e-07
"ZBTB4",2.27734438925163,6.19064890818992,7.29394049422282e-08,3.50871301251241e-07
"DYNC2H1",2.56139880804922,5.5608960747599,7.34550881715646e-08,3.53239436748607e-07
"LDOC1L",2.43755195048467,5.63495933450107,7.40380541460317e-08,3.55929518498911e-07
"PIGV",-2.49282672209831,4.73906863425292,7.48138559138654e-08,3.5954462899407e-07
"EFHC2",5.74879336428914,0.481450043021432,7.50616564347875e-08,3.60620748382212e-07
"ATRNL1",5.30075972248596,8.82071896988828,7.51340876287443e-08,3.60853919590979e-07
"HACE1",2.60164506750231,4.81831311761869,7.5630756110219e-08,3.63123821069732e-07
"PTMS",-2.50402798553524,6.29336343150985,7.65459158053519e-08,3.67400930915707e-07
"LINC00936",3.87427826341827,2.52327317973371,7.68866496770356e-08,3.68919100770015e-07
"NBL1",4.06704841147327,5.16136088243653,7.73509181929693e-08,3.70924127246451e-07
"FLT4",-4.10771608611924,3.95958913332232,7.73536474635148e-08,3.70924127246451e-07
"SLC27A3",-3.14159734448474,3.96165554926811,7.76922499793874e-08,3.72429515774206e-07
"CHI3L1",-3.81364359223908,5.73778531182618,7.78811777679136e-08,3.73216688129322e-07
"ATP6V1E1",2.48905546240572,6.88529599626867,7.83681838628349e-08,3.75431337667769e-07
"SEMA3B",3.50558738020477,3.96299233839044,7.8893365200156e-08,3.77827407079719e-07
"ARHGEF34P",-4.79705827497533,1.77114613367694,7.90318531325681e-08,3.78370634845206e-07
"BAZ1A",-2.62796593595906,4.24512743035257,7.91638625539951e-08,3.78882511748122e-07
