"","Gene","S7_avg","S12_avg","S13_avg","Class"
"SNX7","SNX7",13.2762410598326,10.0599410121436,12.3277306816532,"not_elevated"
"SNX8","SNX8",11.1498719090693,11.0298695469509,10.0338502835587,"not_elevated"
"SNX9","SNX9",67.647847594823,67.5047752047019,68.9447612009746,"not_elevated"
"SOAT1","SOAT1",42.3471032905163,33.6673317586559,45.8389851108408,"not_elevated"
"SOBP","SOBP",18.1580354663419,22.8379591526517,18.0530044112035,"not_elevated"
"SOCS2","SOCS2",9.19124098870321,19.0963489531614,26.8130913596842,"not_elevated"
"SOCS3","SOCS3",11.3164858924708,24.739807934821,30.9244049867986,"not_elevated"
"SOCS4","SOCS4",42.6539058524722,41.4728081387344,48.6824900247673,"not_elevated"
"SOCS5","SOCS5",44.684490077809,55.0803273585167,57.2022719058867,"not_elevated"
"SOCS6","SOCS6",64.639586708843,52.0382051997397,69.3570033270028,"not_elevated"
"SOCS7","SOCS7",34.5282147710153,46.8495426881491,52.4682264626833,"not_elevated"
"SOD1","SOD1",313.656267560837,152.487116620316,197.514679739883,"not_elevated"
"SOD2","SOD2",239.403435490164,196.521432553243,232.73140227065,"not_elevated"
"SOD3","SOD3",7.35537647942469,16.3514787619853,8.65801228186503,"individual_elevated"
"SOGA1","SOGA1",33.2599681574725,57.7259862013994,67.5903775698498,"not_elevated"
"SOGA2","SOGA2",9.65441911837956,15.7647994316902,57.0591580504983,"individual_elevated"
"SOGA3","SOGA3",45.6212852573783,51.8019211582244,42.754812986709,"not_elevated"
"SOLH","SOLH",14.9259200899853,26.1449621114469,17.3636978996541,"not_elevated"
"SON","SON",361.634525321906,426.764562552126,364.216051348978,"not_elevated"
"SORBS1","SORBS1",445.927804843482,386.467977198671,416.09299584831,"not_elevated"
"SORBS2","SORBS2",235.142575316749,140.541917796966,167.471502927097,"not_elevated"
"SORBS3","SORBS3",22.277487767656,29.7333746365593,25.6788156509889,"not_elevated"
"SORCS1","SORCS1",13.120665845903,15.4082362872988,2.91274799288182,"not_elevated"
"SORCS2","SORCS2",11.0012434477431,30.4960568423795,11.9104151559033,"individual_elevated"
"SORCS3","SORCS3",4.63102202047903,7.44777085375392,3.17338287009804,"not_elevated"
"SORD","SORD",386.912974392874,189.102953273006,156.095700498957,"individual_elevated"
"SORL1","SORL1",359.793935083945,420.799570922633,311.486476002952,"not_elevated"
"SORT1","SORT1",223.327265128061,239.885080947359,187.576985459872,"not_elevated"
"SOS1","SOS1",63.1840300152882,77.5183706199944,67.8091588962596,"not_elevated"
"SOS2","SOS2",113.214503638587,106.311131591062,99.6186025095155,"not_elevated"
"SOST","SOST",2.53238194624392,0.0994283319389234,2.61579098134957,"not_elevated"
"SOSTDC1","SOSTDC1",7.69610114625464,14.2475799084694,4.45937566600103,"individual_elevated"
"SOWAHA","SOWAHA",13.7183611660023,20.7000334898081,8.16929383270208,"not_elevated"
"SOWAHB","SOWAHB",13.0317795854138,15.93242164379,6.84902704220836,"not_elevated"
"SOWAHC","SOWAHC",30.3843668528716,24.8129163353925,28.2137057113209,"not_elevated"
"SOX10","SOX10",6.89913915591346,3.6402180740696,2.46134387341899,"individual_elevated"
"SOX12","SOX12",3.00769016422527,5.0425580013757,3.74371958872968,"not_elevated"
"SOX13","SOX13",16.5555987827122,24.0353116929053,15.3096838622293,"not_elevated"
"SOX17","SOX17",4.14584068916116,8.60534051367439,4.62595436997055,"not_elevated"
"SOX18","SOX18",1.83052158149114,5.39673603468445,2.04494030075164,"individual_elevated"
"SOX2","SOX2",6.93142423132424,3.44243665189348,5.29996100316261,"not_elevated"
"SOX2-OT","SOX2-OT",37.6905960950809,13.7462346264654,15.4501732166942,"individual_elevated"
"SOX4","SOX4",18.8371632020686,25.3537791296883,24.2559778435975,"not_elevated"
"SOX5","SOX5",18.6530905862722,19.4145709673357,12.3109657007035,"not_elevated"
"SOX6","SOX6",45.18906476086,54.8943839492476,44.4937576898257,"not_elevated"
"SOX7","SOX7",6.01990790973253,14.0047085227857,9.59723665582331,"not_elevated"
"SOX8","SOX8",8.71901694181463,5.31984384118558,4.102736370032,"not_elevated"
"SOX9","SOX9",9.99775609950039,12.5900111215699,15.0220032932964,"not_elevated"
"SP1","SP1",115.532707293887,115.203190614426,123.300764239712,"not_elevated"
"SP100","SP100",50.5657783071955,58.1541345024055,62.961446833599,"not_elevated"
"SP110","SP110",10.6823535822181,14.3156710854996,11.9931872491365,"not_elevated"
"SP140","SP140",1.2744308275419,1.91005148228218,1.65906035837234,"not_elevated"
"SP140L","SP140L",5.37035433217545,9.14154799095214,6.56264611172657,"not_elevated"
"SP2","SP2",5.57529149453655,7.24017232950727,5.74070888065836,"not_elevated"
"SP3","SP3",104.778376117419,106.460834979314,111.381258000794,"not_elevated"
"SP4","SP4",31.049664605709,22.6303914379045,36.6181020934278,"not_elevated"
"SPA17","SPA17",4.04495915080451,2.42206981264228,2.69542947235003,"not_elevated"
"SPAG1","SPAG1",6.27564455054292,4.59447471786918,6.62025692696,"not_elevated"
"SPAG16","SPAG16",16.4623813896091,12.3564212504034,13.4181092220855,"not_elevated"
