"liver_S7"	"brain_S7"	"muscle_S7"	"heart_S7"	"kidney_S7"	"lung_S7"	"liver_S12"	"brain_S12"	"muscle_S12"	"heart_S12"	"kidney_S12"	"lung_S12"	"liver_S13"	"brain_S13"	"muscle_S13"	"heart_S13"	"kidney_S13"	"lung_S13"
"AB231705"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB231710"	0	0	0.92	1.27	2.71	1.57	1.03	1.71	0	0	3.47	0.83	3.05	0.08	0.57	0.6	1.58	3.97
"AB231711"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB231721"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB231722"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB231723"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB231724"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB231729"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB231731"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"AB231739"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB231741"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB231742"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB231761"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB231779"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB231784"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB240015"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB372727"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB429224"	3	0	0	0	0	0	20	0	0	0	0	0	10	0	0	0	0	0
"AB488780"	4	32	29	25	13	15	2	32	37	12	14	9	8	67	56	13	20	16
"AB586698"	0	0	0	0	0	1	0	3	0	1.19	0	0	0	0	0	0	0	2
